status,message,source_path,output_path
converted,HEIC dosyası JPG'ye çevrildi.,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\train\images\IMG_1495_HEIC.rf.xUKqrjMk5vcm2QVRMCX5.HEIC,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\train\images\IMG_1495_HEIC.rf.xUKqrjMk5vcm2QVRMCX5.jpg
converted,HEIC dosyası JPG'ye çevrildi.,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\train\images\IMG_1497_HEIC.rf.dYFiRM2StrR4qXEaVgPp.HEIC,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\train\images\IMG_1497_HEIC.rf.dYFiRM2StrR4qXEaVgPp.jpg
converted,HEIC dosyası JPG'ye çevrildi.,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\train\images\IMG_1498_HEIC.rf.yE0akbniwbubrq93nej8.HEIC,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\train\images\IMG_1498_HEIC.rf.yE0akbniwbubrq93nej8.jpg
converted,HEIC dosyası JPG'ye çevrildi.,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\train\images\IMG_1499_HEIC.rf.SUS9d3wrzWcWXQ0H2KPz.HEIC,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\train\images\IMG_1499_HEIC.rf.SUS9d3wrzWcWXQ0H2KPz.jpg
converted,HEIC dosyası JPG'ye çevrildi.,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\train\images\IMG_1500_HEIC.rf.CjA6k51hFcG97YnpwxFy.HEIC,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\train\images\IMG_1500_HEIC.rf.CjA6k51hFcG97YnpwxFy.jpg
converted,HEIC dosyası JPG'ye çevrildi.,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\train\images\IMG_1501_HEIC.rf.m1bzf5sEwGXo2Ky74zLh.HEIC,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\train\images\IMG_1501_HEIC.rf.m1bzf5sEwGXo2Ky74zLh.jpg
converted,HEIC dosyası JPG'ye çevrildi.,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\train\images\IMG_1502_HEIC.rf.LuvHp8ud6dYK2g3KLj1Z.HEIC,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\train\images\IMG_1502_HEIC.rf.LuvHp8ud6dYK2g3KLj1Z.jpg
converted,HEIC dosyası JPG'ye çevrildi.,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\valid\images\IMG_1454_HEIC.rf.R8oUAdCKPBTerj5Sxn2I.HEIC,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\valid\images\IMG_1454_HEIC.rf.R8oUAdCKPBTerj5Sxn2I.jpg
converted,HEIC dosyası JPG'ye çevrildi.,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\valid\images\IMG_1459_HEIC.rf.GHWJ8GMNa8blTadJMsTR.HEIC,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\valid\images\IMG_1459_HEIC.rf.GHWJ8GMNa8blTadJMsTR.jpg
converted,HEIC dosyası JPG'ye çevrildi.,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\valid\images\IMG_1467_HEIC.rf.7GKnIWvxzipCv4NVIvih.HEIC,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\valid\images\IMG_1467_HEIC.rf.7GKnIWvxzipCv4NVIvih.jpg
converted,HEIC dosyası JPG'ye çevrildi.,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\valid\images\IMG_1470_HEIC.rf.CgnXa8BBlVJxG8fK02RP.HEIC,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\valid\images\IMG_1470_HEIC.rf.CgnXa8BBlVJxG8fK02RP.jpg
converted,HEIC dosyası JPG'ye çevrildi.,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\valid\images\IMG_1474_HEIC.rf.F9OYycw5ciUj5MWFkSCv.HEIC,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\valid\images\IMG_1474_HEIC.rf.F9OYycw5ciUj5MWFkSCv.jpg
converted,HEIC dosyası JPG'ye çevrildi.,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\valid\images\IMG_1479_HEIC.rf.8Pe3kTHtmNve52TcO1VC.HEIC,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\valid\images\IMG_1479_HEIC.rf.8Pe3kTHtmNve52TcO1VC.jpg
converted,HEIC dosyası JPG'ye çevrildi.,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\valid\images\IMG_1481_HEIC.rf.F25eO8NBNc5L5HFmJLwg.HEIC,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\valid\images\IMG_1481_HEIC.rf.F25eO8NBNc5L5HFmJLwg.jpg
converted,HEIC dosyası JPG'ye çevrildi.,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\valid\images\IMG_1482_HEIC.rf.IFnReNNafDpj9NfjSmvW.HEIC,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\valid\images\IMG_1482_HEIC.rf.IFnReNNafDpj9NfjSmvW.jpg
converted,HEIC dosyası JPG'ye çevrildi.,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\valid\images\IMG_1484_HEIC.rf.8UgPrnpJfYqtsrGUZm1w.HEIC,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\valid\images\IMG_1484_HEIC.rf.8UgPrnpJfYqtsrGUZm1w.jpg
converted,HEIC dosyası JPG'ye çevrildi.,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\valid\images\IMG_1486_HEIC.rf.2kpsyz90Gnd5h5G7Pefp.HEIC,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\valid\images\IMG_1486_HEIC.rf.2kpsyz90Gnd5h5G7Pefp.jpg
